VDS_ID,HIGHWAY,DIRECTION,LAT,LONG,WEEK 1,WEEK 2
1108693,I5,S,32.800576,-117.211766,1108693_I5_W1.csv,1108693_I5_W2.csv
1118707,I5,N,32.797132,-117.209541,1118707_I5_W1.csv,1118707_I5_W2.csv
1108547,I5,N,32.79154,-117.20716,1108547_I5_W1.csv,1108547_I5_W2.csv
1108711,I5,S,32.788012,-117.207155,1108711_I5_W1.csv,1108711_I5_W2.csv
1114035,I5,N,32.788076,-117.2069,1114035_I5_W1.csv,1114035_I5_W2.csv
1114806,I5,S,32.779286,-117.2086,1114806_I5_W1.csv,1114806_I5_W2.csv
1114805,I5,N,32.779349,-117.208332,1114805_I5_W1.csv,1114805_I5_W2.csv
1126411,I5,N,32.770653,-117.206673,1126411_I5_W1.csv,1126411_I5_W2.csv
1118496,I5,N,32.768302,-117.206075,1118496_I5_W1.csv,1118496_I5_W2.csv
1126426,I5,S,32.767402,-117.20613,1126426_I5_W1.csv,1126426_I5_W2.csv
1117818,I5,S,32.749347,-117.195726,1117818_I5_W1.csv,1117818_I5_W2.csv
1108617,I5,N,32.749525,-117.19554,1108617_I5_W1.csv,1108617_I5_W2.csv
1108615,I5,S,32.746776,-117.19189,1108615_I5_W1.csv,1108615_I5_W2.csv
1114050,I5,N,32.746531,-117.190868,1114050_I5_W1.csv,1114050_I5_W2.csv
1117871,I5,S,32.743125,-117.184141,1117871_I5_W1.csv,1117871_I5_W2.csv
1108613,I5,N,32.743306,-117.184005,1108613_I5_W1.csv,1108613_I5_W2.csv
1108609,I5,S,32.741281,-117.180454,1108609_I5_W1.csv,1108609_I5_W2.csv
1108611,I5,N,32.741137,-117.179918,1108611_I5_W1.csv,1108611_I5_W2.csv
1118078,I5,N,32.735498,-117.174847,1118078_I5_W1.csv,1118078_I5_W2.csv
1117717,I5,N,32.735429,-117.174785,1117717_I5_W1.csv,1117717_I5_W2.csv
1118702,I5,S,32.731858,-117.171925,1118702_I5_W1.csv,1118702_I5_W2.csv
1117835,I5,N,32.73198,-117.171704,1117835_I5_W1.csv,1117835_I5_W2.csv
1108605,I5,S,32.731172,-117.171313,1108605_I5_W1.csv,1108605_I5_W2.csv
1108603,I5,N,32.727284,-117.167641,1108603_I5_W1.csv,1108603_I5_W2.csv
1117734,I5,S,32.725605,-117.166389,1117734_I5_W1.csv,1117734_I5_W2.csv
1117741,I5,N,32.723913,-117.164378,1117741_I5_W1.csv,1117741_I5_W2.csv
1108417,I5,S,32.723898,-117.156068,1108417_I5_W1.csv,1108417_I5_W2.csv
1113976,I5,N,32.724117,-117.156091,1113976_I5_W1.csv,1113976_I5_W2.csv
1117683,I5,S,32.723795,-117.151061,1117683_I5_W1.csv,1117683_I5_W2.csv
1117748,I5,N,32.723971,-117.150962,1117748_I5_W1.csv,1117748_I5_W2.csv
1117810,I5,S,32.717944,-117.147838,1117810_I5_W1.csv,1117810_I5_W2.csv
1117809,I5,N,32.717974,-117.147607,1117809_I5_W1.csv,1117809_I5_W2.csv
1117789,I5,S,32.712581,-117.147751,1117789_I5_W1.csv,1117789_I5_W2.csv
1117796,I5,N,32.712585,-117.147532,1117796_I5_W1.csv,1117796_I5_W2.csv
1117774,I5,S,32.7062,-117.147722,1117774_I5_W1.csv,1117774_I5_W2.csv
1117782,I5,N,32.706202,-117.147449,1117782_I5_W1.csv,1117782_I5_W2.csv
1114268,I5,S,32.69574,-117.135196,1114268_I5_W1.csv,1114268_I5_W2.csv
1114219,I5,N,32.695918,-117.134988,1114219_I5_W1.csv,1114219_I5_W2.csv
1117755,I5,S,32.694358,-117.129467,1117755_I5_W1.csv,1117755_I5_W2.csv
1117762,I5,N,32.694578,-117.129462,1117762_I5_W1.csv,1117762_I5_W2.csv
1126864,I5,N,32.694337,-117.124759,1126864_I5_W1.csv,1126864_I5_W2.csv
1118076,I5,S,32.688779,-117.116159,1118076_I5_W1.csv,1118076_I5_W2.csv
1125469,I5,N,32.688971,-117.115919,1125469_I5_W1.csv,1125469_I5_W2.csv
1114254,I5,S,32.685989,-117.113063,1114254_I5_W1.csv,1114254_I5_W2.csv
1114205,I5,N,32.686187,-117.11275,1114205_I5_W1.csv,1114205_I5_W2.csv
1118479,I5,N,32.676926,-117.109213,1118479_I5_W1.csv,1118479_I5_W2.csv
1118465,I5,S,32.671747,-117.111237,1118465_I5_W1.csv,1118465_I5_W2.csv
1118458,I5,N,32.671696,-117.110938,1118458_I5_W1.csv,1118458_I5_W2.csv
1114240,I5,S,32.65888,-117.10767,1114240_I5_W1.csv,1114240_I5_W2.csv
1114190,I5,N,32.658963,-117.107386,1114190_I5_W1.csv,1114190_I5_W2.csv
