VDS_ID,HIGHWAY,DIRECTION,LAT,LONG,WEEK 1,WEEK 2
1123081,I805,N,32.904961,-117.224172,1123081_I805N_W1.csv,1123081_I805N_W2.csv
1123064,I805,S,32.904824,-117.224404,1123064_I805S_W1.csv,1123064_I805S_W2.csv
1125913,I805,N,32.89479,-117.214108,1125913_I805N_W1.csv,1125913_I805N_W2.csv
1108653,I805,N,32.89135,-117.207199,1108653_I805N_W1.csv,1108653_I805N_W2.csv
1125769,I805,S,32.891018,-117.207135,1125769_I805S_W1.csv,1125769_I805S_W2.csv
1113473,I805,S,32.889096,-117.204916,1113473_I805S_W1.csv,1113473_I805S_W2.csv
1115964,I805,N,32.881721,-117.201326,1115964_I805N_W1.csv,1115964_I805N_W2.csv
1108413,I805,S,32.875201,-117.199467,1108413_I805S_W1.csv,1108413_I805S_W2.csv
1111553,I805,N,32.867237,-117.192319,1111553_I805N_W1.csv,1111553_I805N_W2.csv
1108764,I805,S,32.8671,-117.192516,1108580_I805N_W1.csv,1108764_I805S_W2.csv
1108580,I805,N,32.858916,-117.184886,1108410_I805S_W1.csv,1108580_I805N_W2.csv
1108410,I805,S,32.857504,-117.184358,1108410_I805S_W1.csv,1108410_I805S_W2.csv
1126184,I805,N,32.847538,-117.177909,1126184_I805N_W1.csv,1126184_I805N_W2.csv
1126175,I805,N,32.842493,-117.174848,1126175_I805N_W1.csv,1126175_I805N_W2.csv
1108398,I805,S,32.834806,-117.170551,1108398_I805S_W1.csv,1108398_I805S_W2.csv
1108577,I805,N,32.832144,-117.168507,1108577_I805N_W1.csv,1108577_I805N_W2.csv
1117850,I805,N,32.82148,-117.162099,1117850_I805N_W1.csv,1117850_I805N_W2.csv
1118957,I805,S,32.821375,-117.162372,1118957_I805S_W1.csv,1118957_I805S_W2.csv
1118020,I805,N,32.817658,-117.159876,1118020_I805N_W1.csv,1118020_I805N_W2.csv
1118013,I805,S,32.817541,-117.16012,1118013_I805S_W1.csv,1118013_I805S_W2.csv
1127218,I805,N,32.81754,-117.159809,1127218_I805N_W1.csv,1127218_I805N_W2.csv
1117857,I805,S,32.817425,-117.16005,1117857_I805S_W1.csv,1117857_I805S_W2.csv
1115240,I805,N,32.811675,-117.155267,1115240_I805N_W1.csv,1115240_I805N_W2.csv
1115246,I805,S,32.811513,-117.155527,1115246_I805S_W1.csv,1115246_I805S_W2.csv
1111570,I805,S,32.80848,-117.152784,1111570_I805S_W1.csv,1111570_I805S_W2.csv
